direction,xPosAtMaxHeight,impactPos
left,0.92,302.8125
left,0.58,132.8125
left,0.656,170.8125
left,0.702,193.8125
right,0.712,388.71875
right,0.386,444.59375
right,0.092,299.203125
right,0.894,296.25
right,0.152,327.59375
left,0.26384375,99.515625
right,0.048,277.203125
left,-0.01815625,238.546875
right,0.306,406.203125
left,0.984,336.421875
left,0.982,333.8125
left,0.122625,168.921875
right,0.73,380.015625
right,0.72053125,358.421875
left,0.70325,217.8125
right,0.614,439.5
right,0.014,258.59375
right,0.846,320.53125
left,0.742,213.8125
left,0.122625,168.921875
left,0.522,105.421875
right,0.83,328.625
right,0.086,296.203125
right,0.552,471.265625
right,0.75,372.3125
right,0.474,490.203125
left,0.28,114.796875
right,0.83,328.625
left,0.724,204.8125
right,0.994,341.421875
right,0.014,260.203125
right,0.448,477.203125
left,0.584,134.8125
left,0.158,174.5
right,0.972,330.421875
right,0.606,443.546875
left,0.54,112.8125
left,0.804,244.8125
right,0.348,427.203125
right,0.808,340.15625
right,0.966,325.8125
right,0.034,268.59375
left,0.158,172.890625
left,0.358,74.9375
right,0.66525,385.5
left,0.678,181.8125
left,0.666,199.1875
right,0.826,331.453125
right,0.83,328.625
right,0.006,254.59375
left,0.576,130.8125
left,0.31121875,76.53125
left,0.27521875,93.9375
left,0.456,70.8125
left,0.516,100.8125
right,0.53,484.40625
right,0.774,360.171875
left,0.936,310.8125
right,0.972,330.421875
left,0.436,60.8125
right,0.528,483.40625
right,0.532,482.1875
left,0.478,81.8125
left,0.564,124.8125
right,0.492,497.59375
left,0.27,97.765625
left,0.958,321.8125
left,0.344,84.03125
left,0.782,235.421875
right,0.872,309.390625
left,0.264,122.890625
right,0.312,409.203125
right,0.952,320.421875
right,0.932,308.8125
right,0.048,275.59375
right,0.714,388.109375
left,0.596,140.8125
right,0.712,388.71875
left,0.702,193.8125
left,0.6684375,200.40625
right,0.872,309.390625
left,0.76,222.8125
right,-0.048875,255.359375
right,0.472,489.203125
left,-0.00921875,233.359375
left,0.144,180.375
left,0.544,116.421875
left,0.72,202.8125
left,-0.025375,241.375
left,0.2,152.046875
right,0.388,447.203125
left,0.578,131.8125
right,0.834,329.015625
right,0.448,477.203125
right,0.866,311.21875
right,0.454,480.203125
left,0.76,222.8125
left,0.836,260.8125
left,0.996,340.8125
right,0.832,329.625
right,0.714,389.71875
right,0.468,487.203125
right,0.068,287.203125
left,0.33459375,65.6875
right,0.89,299.078125
left,0.078625,190.375
left,0.478,83.421875
left,0.70203125,217.203125
right,0.452,479.203125
left,0.3750625,53.71875
left,0.482,83.8125
left,0.322,93.953125
left,0.998,341.8125
right,0.64340625,397.109375
left,0.116625,172.359375
left,0.604,144.8125
left,0.536,110.8125
right,0.208,357.203125
right,-0.01896875,270.3125
right,0.894,296.25
left,0.622,153.8125
right,0.754,369.484375
left,0.65834375,195.359375
left,0.38,66.625
left,0.31153125,76.6875
left,0.56,122.8125
left,0.58,132.8125
right,0.89,299.078125
left,0.362625,52.34375
left,0.221375,120.125
left,0.658,173.421875
left,0.27228125,95.6875
right,0.934,311.421875
right,0.112,309.203125
right,0.072,289.203125
left,0.342,84.640625
right,0.452,479.203125
right,0.926,307.421875
left,0.3378125,64.078125
right,0.99,339.421875
left,0.456,70.8125
left,0.32784375,68.75
right,0.05,278.203125
right,0.766,362.609375
right,0.934,311.421875
left,0.324,93.34375
left,-0.025375,241.375
right,0.54446875,447.421875
left,0.576,130.8125
left,0.504,94.8125
right,0.01,256.59375
right,-0.004,277.796875
left,0.476,80.8125
left,0.358,76.546875
left,0.64215625,187.265625
left,0.242625,109.828125
right,0.452,479.203125
left,0.215625,123.6875
left,0.444,64.8125
left,0.25321875,105.46875
left,0.662,173.8125
right,0.492,497.59375
right,0.974,331.421875
left,0.26784375,98.296875
right,0.79,350.46875
right,-0.014875,272.359375
left,0.62353125,177.953125
left,-0.03471875,246.359375
right,0.106,306.203125
left,0.244,132.203125
left,0.23059375,116.6875
right,0.368,437.203125
left,0.36009375,52.6875
right,0.106,306.203125
left,0.38,65.015625
right,0.014,260.203125
left,-0.01815625,238.546875
left,0.6,144.421875
right,0.368,435.59375
left,0.54,112.8125
right,0.027125,293.359375
left,0.342,83.03125
left,0.26,124.109375
right,0.59,451.640625
left,-0.0335,245.359375
left,0.24921875,106.6875
left,0.978,331.8125
right,0.368,437.203125
left,0.42,52.8125
left,0.018,242.90625
right,0.01384375,286.71875
left,0.21440625,124.6875
left,0.6385,185.4375
left,0.696,190.8125
left,0.223375,119.515625
left,0.223375,119.515625
left,0.29778125,82.6875
left,0.484,86.421875
left,0.35521875,55.078125
right,0.088,297.203125
left,0.42,52.8125
right,0.934,311.421875
right,0.114,308.59375
right,0.55,471.875
left,0.26921875,97.375
right,0.026,266.203125
right,0.592,451.03125
right,0.874,307.171875
left,0.62353125,177.953125
left,0.24075,112.109375
left,0.476,80.8125
right,0.572,461.953125
left,0.356,77.15625
left,0.48,82.8125
left,0.284,113.578125
left,0.558,123.421875
left,0.62,152.8125
left,0.346625,58.828125
right,0.572,460.34375
right,0.49,496.59375
right,0.394,448.59375
left,-0.04015625,248.46875
right,0.006,256.203125
left,0.956,320.8125
right,0.434,468.59375
left,0.31275,75.6875
right,0.788,351.078125
right,0.52584375,457.421875
left,0.3171875,74.6875
right,0.106,306.203125
left,0.384,62.1875
left,0.6223125,177.34375
left,0.602,143.8125
left,0.998,341.8125
right,0.006,256.203125
left,0.24078125,112.125
right,0.866,311.21875
right,0.048,275.59375
left,0.29534375,84.6875
right,0.034,270.203125
left,0.256,125.328125
right,0.012,259.203125
right,0.792,348.25
right,0.81,339.546875
right,0.052,279.203125
